country_name,year,mental_health_value,indicator_code
MNG,2008,5.768614765,MH_12
BLZ,2017,6.823690602,MH_12
SDN,2019,2.856299154,MH_12
POL,2012,27.87762576,MH_12
CYP,2005,3.173018137,MH_12
ISR,2005,10.34175581,MH_12
SAU,2012,1.813267485,MH_12
WB_UMI,2006,7.528615574,MH_12
ISR,2004,9.83756209,MH_12
WPR,2016,7.789656623,MH_12
EMR,2021,3.981979511,MH_12
VEN,2003,7.398783147,MH_12
NER,2002,10.52908582,MH_12
BLZ,2008,9.874716808,MH_12
YEM,2010,8.084121733,MH_12
CRI,2013,6.152365612,MH_12
ROU,2015,16.12326614,MH_12
MNE,2008,12.24663335,MH_12
ECU,2015,4.112353622,MH_12
JPN,2006,27.230677,MH_12
CHE,2005,8.359018941,MH_12
PRI,2018,1.236094757,MH_12
BLZ,2012,2.145725585,MH_12
CRI,2015,6.08896276,MH_12
BRA,2012,2.590077451,MH_12
PAN,2015,4.704917809,MH_12
FIN,2012,7.154313786,MH_12
ZMB,2009,22.09489178,MH_12
KGZ,2016,15.92346608,MH_12
AFG,2015,7.248807973,MH_12
MUS,2016,2.526772528,MH_12
EST,2013,25.5929694,MH_12
EST,2014,15.86465868,MH_12
MLT,2007,7.83232944,MH_12
OMN,2000,0.786563535,MH_12
VNM,2006,6.947100919,MH_12
PHL,2005,2.789052147,MH_12
JPN,2005,9.971353286,MH_12
ARG,2017,8.836441548,MH_12
KHM,2005,7.879152184,MH_12
CHE,2001,22.39091252,MH_12
WPR,2009,8.172608829,MH_12
ISR,2011,5.504132713,MH_12
WSM,2013,13.03298143,MH_12
MEX,2006,1.361571963,MH_12
ECU,2000,8.568139228,MH_12
MKD,2009,3.18221969,MH_12
TON,2017,7.200497403,MH_12
BEL,2001,9.472184505,MH_12
BEN,2008,12.18116756,MH_12
GLOBAL,2004,17.40762338,MH_12
MMR,2005,1.77523921,MH_12
HND,2008,4.187459403,MH_12
DNK,2020,4.911491215,MH_12
VNM,2013,4.361266742,MH_12
AZE,2013,2.238625161,MH_12
UKR,2016,17.58416104,MH_12
MOZ,2016,21.845174,MH_12
THA,2006,3.895440544,MH_12
ISR,2002,2.712044241,MH_12
SWZ,2014,28.02699177,MH_12
MUS,2004,12.46162218,MH_12
URY,2005,13.41926487,MH_12
LKA,2004,25.73068493,MH_12
SVK,2012,18.77548597,MH_12
EST,2003,6.968473443,MH_12
YEM,2004,8.916691448,MH_12
SAU,2010,1.569826988,MH_12
KEN,2004,10.32850674,MH_12
PRI,2017,9.184484479,MH_12
BIH,2006,3.548607062,MH_12
GRD,2013,0.516779579,MH_12
GUY,2014,14.48225483,MH_12
AGO,2016,12.02824561,MH_12
PSE,2010,0.759864699,MH_12
MDG,2018,14.87374538,MH_12
SSD,2000,4.682440041,MH_12
GIN,2011,12.14382805,MH_12
ROU,2005,10.15101869,MH_12
MMR,2012,3.352219367,MH_12
TGO,2004,25.25017394,MH_12
AMR,2004,3.444349749,MH_12
DOM,2006,5.085091283,MH_12
ZMB,2001,5.549516427,MH_12
WSM,2005,7.06216536,MH_12
WB_UMI,2009,8.820405289,MH_12
OMN,2006,0.585674774,MH_12
VNM,2001,9.515213552,MH_12
SDN,2006,5.693074344,MH_12
HRV,2017,17.19974392,MH_12
EGY,2019,1.01645495,MH_12
BEN,2010,5.621575436,MH_12
PAK,2002,13.18387509,MH_12
BOL,2016,8.374637513,MH_12
MYS,2002,2.547100467,MH_12
CUB,2004,5.945267194,MH_12
KAZ,2021,15.18754724,MH_12
ARG,2011,3.366721832,MH_12
GTM,2009,2.989425991,MH_12
AZE,2017,1.86386408,MH_12
NLD,2007,7.087701684,MH_12
SVK,2001,12.40557292,MH_12
ERI,2001,37.87195505,MH_12
CMR,2002,21.99512998,MH_12
LBY,2008,6.627642915,MH_12
PHL,2011,6.142602597,MH_12
SYR,2002,1.183099717,MH_12
FSM,2014,33.40736715,MH_12
VEN,2005,1.799463025,MH_12
EGY,2017,1.562722546,MH_12
LKA,2020,19.71876154,MH_12
IRN,2017,6.28533382,MH_12
DEU,2021,4.241081041,MH_12
GNB,2014,12.18088403,MH_12
YEM,2012,4.318700004,MH_12
NAM,2002,25.77008775,MH_12
PAK,2006,12.59192734,MH_12
PRI,2006,0.997166165,MH_12
FJI,2007,6.155310711,MH_12
ATG,2010,0.0,MH_12
PRY,2015,9.633411339,MH_12
VNM,2005,4.664540527,MH_12
BRA,2009,5.476310833,MH_12
SLB,2012,35.36665777,MH_12
COL,2017,4.489631824,MH_12
COD,2012,6.867936808,MH_12
SWE,2005,8.17926479,MH_12
SAU,2017,1.984189569,MH_12
UKR,2005,6.440705752,MH_12
IRQ,2009,2.387469397,MH_12
MUS,2009,3.510894065,MH_12
MLT,2015,2.808197104,MH_12
LTU,2009,9.269774496,MH_12
SYC,2002,15.56095139,MH_12
GNQ,2012,10.06562019,MH_12
BLR,2005,9.454518798,MH_12
GLOBAL,2009,11.15437831,MH_12
NER,2008,8.006391164,MH_12
TZA,2018,3.88999107,MH_12
KGZ,2007,13.23906201,MH_12
BOL,2018,8.130652756,MH_12
COM,2005,12.73675512,MH_12
BGR,2016,2.88016819,MH_12
BRA,2016,9.551826553,MH_12
SDN,2009,6.324226288,MH_12
MMR,2016,1.151010432,MH_12
FSM,2015,33.8176843,MH_12
TTO,2000,26.78255815,MH_12
KGZ,2003,5.825805227,MH_12
ETH,2009,5.502236001,MH_12
SEN,2003,11.83823585,MH_12
VUT,2019,29.25463132,MH_12
DZA,2010,1.711450622,MH_12
PHL,2017,5.969920775,MH_12
BFA,2001,28.41709153,MH_12
BWA,2006,4.938537521,MH_12
SUR,2014,12.85572432,MH_12
ALB,2007,8.646916062,MH_12
KWT,2021,3.27811313,MH_12
PNG,2001,1.599090729,MH_12
NOR,2004,10.98345977,MH_12
AUS,2008,10.98872785,MH_12
PRY,2018,7.458283616,MH_12
BHR,2008,6.383685498,MH_12
DJI,2010,9.118835061,MH_12
PAK,2010,7.586883028,MH_12
ZMB,2016,10.77895704,MH_12
HUN,2016,6.069669447,MH_12
KWT,2003,3.729144787,MH_12
LBR,2019,9.569164019,MH_12
KIR,2006,20.12914409,MH_12
BTN,2004,5.520772549,MH_12
PSE,2004,0.932043016,MH_12
NZL,2009,5.126571227,MH_12
POL,2002,4.583483434,MH_12
THA,2011,8.330590529,MH_12
BFA,2019,26.27281706,MH_12
TGO,2013,7.015989868,MH_12
USA,2017,21.03478531,MH_12
LCA,2012,1.541026785,MH_12
LAO,2011,3.147907969,MH_12
MNE,2007,20.52091868,MH_12
ESP,2018,5.548478357,MH_12
DNK,2014,13.688568,MH_12
THA,2009,8.198623244,MH_12
BOL,2006,9.282647866,MH_12
LBY,2014,3.091124168,MH_12
CAF,2019,7.462190036,MH_12
SEAR,2009,15.04336671,MH_12
SDN,2007,3.287104676,MH_12
VNM,2013,11.23175977,MH_12
PSE,2008,1.373438109,MH_12
MDA,2015,12.76660877,MH_12
SWZ,2011,25.3189358,MH_12
CZE,2017,18.20282041,MH_12
ARE,2015,2.075518173,MH_12
KWT,2004,3.665231868,MH_12
AZE,2012,2.464730116,MH_12
SUR,2008,11.87876706,MH_12
COL,2008,1.837526039,MH_12
IDN,2021,1.672695901,MH_12
BHR,2006,3.114598751,MH_12
SVN,2017,13.89148131,MH_12
VNM,2004,4.70918228,MH_12
NOR,2003,10.64368325,MH_12
GBR,2006,10.91616378,MH_12
EGY,2005,1.071816105,MH_12
SDN,2015,5.849008402,MH_12
JOR,2019,1.26242816,MH_12
IRL,2005,11.12927897,MH_12
GHA,2001,6.124974575,MH_12
BHS,2009,0.878234154,MH_12
CIV,2005,3.19093658,MH_12
BRN,2019,2.294937222,MH_12
BEL,2011,9.811529887,MH_12
LUX,2004,4.12846297,MH_12
BIH,2000,9.917778523,MH_12
MLT,2019,1.377961048,MH_12
BWA,2009,11.53535904,MH_12
RWA,2012,21.74812195,MH_12
SLB,2005,9.606089792,MH_12
EGY,2015,0.528476951,MH_12
KGZ,2011,12.6304859,MH_12
TUR,2017,5.180853591,MH_12
WB_HI,2010,6.320348311,MH_12
MDG,2021,5.493631124,MH_12
