country_name_x,year,mental_health_value,indicator_code,country_name_matched,country_name_y,GDP_per_capita,School_enrollment,Unemployment
KAZ,2018,6.377272073,MH_12,Kazakhstan,Kazakhstan,9472.48527327758,96.1156212742477,4.85
MEX,2003,1.431802686,MH_12,Mexico,Mexico,7434.0746485155,78.5541915893555,3.455
NIC,2011,3.17345985,MH_12,Dominica,Dominica,7705.40717248319,109.177848815918,7.757837937420643
COM,2014,12.90384552,MH_12,Comoros,Comoros,1615.71723662012,61.5078774291294,3.984
ARE,2007,0.836227373,MH_12,Euro area,Euro area,38544.2258256115,106.226913452148,7.53715996964668
QAT,2000,13.33556382,MH_12,Qatar,Qatar,27535.182940934,79.72026252508348,0.87
COL,2014,1.433165882,MH_12,Colombia,Colombia,8187.20824890084,97.3632888793945,8.799
DJI,2005,9.856389997,MH_12,Djibouti,Djibouti,844.4483573908,79.72026252508348,26.448
TUR,2001,2.771453196,MH_12,Turkiye,Turkiye,3052.2256706793,85.3136215209961,8.381
PER,2012,1.776626035,MH_12,Upper middle income,Upper middle income,7166.76033698733,89.4913711547852,5.59323336401879
BEL,2000,27.15580582,MH_12,Belarus,Belarus,1276.2880341,79.72026252508348,12.193
ETH,2011,17.48041493,MH_12,Ethiopia,Ethiopia,343.024942351887,34.4468994140625,2.27
COM,2003,13.58318269,MH_12,Comoros,Comoros,959.691049354812,38.9220008850098,4.559
COM,2004,13.2760189,MH_12,Comoros,Comoros,1072.28409029621,42.5534706115723,4.571
DJI,2012,11.38071834,MH_12,Djibouti,Djibouti,1400.19357858954,79.72026252508348,26.179
PRI,2009,1.530009692,MH_12,Sao Tome and Principe,Sao Tome and Principe,1128.28046213305,49.2131805419922,15.136
CHE,2013,10.77995222,MH_12,Seychelles,Seychelles,14821.2921476077,84.6974263853466,7.757837937420643
RWA,2005,25.84754789,MH_12,Norway,Norway,67047.1704558264,111.56275177002,4.381
POL,2010,28.1668341,MH_12,French Polynesia,French Polynesia,22494.806706186,79.72026252508348,12.133
AZE,2007,4.881332648,MH_12,Azerbaijan,Azerbaijan,3851.33015175141,79.72026252508348,6.33
NIC,2004,7.319645427,MH_12,Dominica,Dominica,5778.83306546506,114.818801879883,7.757837937420643
BOL,2000,5.302567411,MH_12,Bolivia,Bolivia,975.777060358751,72.7576370239258,2.439
CHE,2011,10.60925214,MH_12,Seychelles,Seychelles,12110.0937461973,74.46608040201,7.757837937420643
GIN,2018,8.280874008,MH_12,British Virgin Islands,British Virgin Islands,14722.823314233625,65.9177456207159,7.757837937420643
SOM,2014,10.49743226,MH_12,"Somalia, Fed. Rep.","Somalia, Fed. Rep.",429.431656725102,79.72026252508348,18.595
COM,2001,8.003839815,MH_12,Comoros,Comoros,681.163857619963,79.72026252508348,4.379
SWE,2012,12.14800727,MH_12,Sweden,Sweden,57749.5615420853,103.106872558594,7.976
COL,2018,4.841875009,MH_12,Colombia,Colombia,6816.96818309544,100.373336791992,9.36
NIC,2001,4.304860886,MH_12,Dominica,Dominica,5527.51527300496,109.117523193359,7.757837937420643
ITA,2014,2.384074135,MH_12,Italy,Italy,36028.3494022349,101.121726989746,12.683
CZE,2019,15.54138315,MH_12,Czechia,Czechia,24062.7190013343,100.21556854248,2.015
UKR,2013,36.2041572,MH_12,Ukraine,Ukraine,4129.89697265625,99.4303801060075,7.17
JOR,2016,0.420815506,MH_12,Jordan,Jordan,3986.71677010853,79.72026252508348,15.275
AFG,2017,7.217691515,MH_12,Afghanistan,Afghanistan,525.469770891619,55.5364303588867,11.184
PAK,2013,3.401190327,MH_12,Pakistan,Pakistan,1225.4340119198,31.544819132504,2.954
THA,2013,3.098990268,MH_12,Thailand,Thailand,6018.08244729255,83.854850769043,0.249
ETH,2016,4.599202742,MH_12,Ethiopia,Ethiopia,641.651523286233,79.72026252508348,2.556
MEX,2010,7.890685581,MH_12,Mexico,Mexico,9728.80078377082,87.2729263305664,5.303
CZE,2018,17.87351617,MH_12,Czechia,Czechia,23705.9329811299,101.514892578125,2.246
ARG,2010,3.147183008,MH_12,Argentina,Argentina,10260.1313108254,99.0709991455078,7.714
ARM,2002,6.349644879,MH_12,Armenia,Armenia,742.651118319819,79.72026252508348,10.888
CAN,2012,10.89167517,MH_12,American Samoa,American Samoa,11745.4899153958,79.72026252508348,7.757837937420643
TUR,2010,4.954247997,MH_12,Turkiye,Turkiye,10698.9699409757,84.2024002075195,11.879
NOR,2002,10.31473148,MH_12,North America,North America,36652.0186585008,95.0205230712891,5.97486412366027
EGY,2006,0.527475241,MH_12,"Egypt, Arab Rep.","Egypt, Arab Rep.",1298.97900203124,79.72026252508348,10.49
UKR,2004,6.207054074,MH_12,Ukraine,Ukraine,1401.01806640625,98.8390197753906,8.59
COL,2010,6.659493604,MH_12,Colombia,Colombia,6398.2958447102,99.9543685913086,11.153
ETH,2002,21.15581743,MH_12,Ethiopia,Ethiopia,109.593813612988,19.1939201354981,3.054
ISL,2020,17.23725004,MH_12,British Virgin Islands,British Virgin Islands,14722.823314233625,73.9501779359431,7.757837937420643
MOZ,2004,3.93227733,MH_12,Mozambique,Mozambique,400.056973161545,10.5598001480103,2.953
MOZ,2006,25.20198655,MH_12,Mozambique,Mozambique,457.487647833183,15.2163000106812,3.037
MEX,2017,5.67634658,MH_12,Mexico,Mexico,9649.27816772402,105.11018371582,3.419
